INFO:root:FSObject(name='16.02', ext='.docx', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='5c9ef3310f18069c6c268ab5fd837c4c', ext='.jpg', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Crosshair_15_R6E_B12UEZ(20231124)', ext='.txt', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='desktop', ext='.ini', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Python', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Tor Browser', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Tor Browser', ext='.lnk', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='вуз', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='ГБ', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Лист Microsoft Excel', ext='.xlsx', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='НГ', ext='.xlsx', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Новый год', ext='.xlsx', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Программы', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Проект дипломный', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='Регистрация', ext='.xlsx', is_dir=False, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
INFO:root:FSObject(name='собесы', ext=None, is_dir=True, parent='C:\\Users\\liz-f\\OneDrive\\Рабочий стол')
